node_id_org,node_id_dest,distance,highway,oneway,bridge,tunnel
4318812377,4318812378,1.702868,footway,None,None,None
4318812378,4318812383,5.538237,footway,None,None,None
4318812383,4318812385,3.359702,footway,None,None,None
4318812385,4318817289,3.472396,footway,None,None,None
4318817289,4318812387,4.272885,footway,None,None,None
4318812387,4318812382,3.376158,footway,None,None,None
4318812382,4318812379,3.921795,footway,None,None,None
4318812379,4318812376,4.040873,footway,None,None,None
4318812376,4318812375,2.548169,footway,None,None,None
4318812375,4318812374,4.020027,footway,None,None,None
4318812374,4318812380,2.801949,footway,None,None,None
4318812380,4318812384,3.145727,footway,None,None,None
4318812384,4318817421,145.824143,footway,None,None,None
4318817421,4318817573,198.634338,footway,None,None,None
4318817573,4318817916,166.810116,footway,None,None,None
4318817772,4318817781,8.016927,footway,None,None,None
4318817781,4318817895,10.229569,footway,None,None,None
4318817895,4318817908,8.801479,footway,None,None,None
4318817767,4318817752,9.108513,footway,None,None,None
4318817752,4318817740,10.519119,footway,None,None,None
4318817740,4318817732,7.393661,footway,None,None,None
4318817910,4318817898,9.686895,footway,None,None,None
4318817898,4318817785,9.496849,footway,None,None,None
4318817785,4318817774,8.640309,footway,None,None,None
4318817748,4318817718,30.753618,footway,None,None,None
4318817718,1347947928,98.371861,footway,None,None,None
1347947928,1347947918,10.988398,footway,None,None,None
1347947918,4318817474,58.727740,footway,None,None,None
4318817474,4318817439,28.797111,footway,None,None,None
4318817439,4318817421,15.936075,footway,None,None,None
4414299128,4414299129,90.441595,residential,None,None,None
4414299129,4414299130,5.794112,residential,None,None,None
4414299130,4414299131,6.716048,residential,None,None,None
4414299131,4414299132,8.079390,residential,None,None,None
4414299132,4414299133,8.172487,residential,None,None,None
4414299133,4414299134,9.522896,residential,None,None,None
4414299134,4414299135,7.527799,residential,None,None,None
4414299135,4414299136,8.932659,residential,None,None,None
4414299136,4414299137,10.671594,residential,None,None,None
4414299137,4414299138,9.615042,residential,None,None,None
4414299138,4414299139,59.497599,residential,None,None,None
